x,y,label
0.9621773496450017,17.48699192374153,0
-0.7429097431022622,15.262788566250002,0
-1.2243242836049122,16.3324558437711,0
-1.4044571749559196,15.762220725232895,0
1.0288470334757513,17.381777363239333,0
3.0156812937450526,18.02924293059253,0
-1.2435283045575152,16.77102784881205,0
0.5756184081507751,16.800970437726182,0
-2.072975718155738,15.433436848084066,0
-0.38850481378318913,15.698160873422097,0
2.247350697054569,18.368060857789935,0
0.26458213326538516,16.161147286860157,0
-1.093355736525109,15.361365391227196,0
-2.4820179971423046,15.912864795838038,0
3.266958018400103,19.17689962795065,0
3.731547827845232,18.826825846305532,0
2.8726328208842684,18.50460724088871,0
1.177580897784184,17.31231286906313,0
2.7536389683973788,18.999352658404362,0
2.307426036156787,17.48961212547608,0
1.4036685712787684,18.564017305508308,0
2.025845310446095,17.278680622329393,0
-1.4267288183570128,17.596745196571675,0
1.464473914449186,16.09239457600682,0
0.842420352200973,15.429910393152523,0
-0.15706800931591386,15.155041481378332,0
1.1550629370523149,16.399574410661476,0
1.3929888969749114,17.70276690952581,0
0.884496081681874,17.815868440076148,0
-0.7005744280924203,15.96708496756669,0
-0.4644150536228645,15.505646909001824,0
1.4179418932536285,18.451332700255485,0
3.3458142429017337,17.90625685151127,0
3.5142436910632036,18.587741781586026,0
-0.3544852076838598,15.75915482864326,0
-0.4696191610237001,16.881106449224426,0
1.7546158713440452,18.854136134142113,0
0.24389050331647844,17.576965787061066,0
-2.1244125281955877,15.74391771900332,0
0.8549460346962688,17.024010600274522,0
0.4467367242852471,17.44009234526783,0
-2.202748849636232,14.69455104279661,0
-2.0252344489634684,16.3091549795874,0
1.8034082500185742,16.350388108941722,0
2.875645738030549,16.936759784888483,0
-1.0759643780499124,15.35947558352316,0
2.425793932746088,17.454886827065163,0
-1.4224132394710451,16.18335253367306,0
2.1356884364528637,18.06035480127086,0
0.11848192858681379,16.75202587692633,0
0.4931120478512761,-10.54125026817085,1
1.377384205467585,-9.046169815610744,1
0.021086738270209,-10.380266263110132,1
5.735218282089466,-6.664738991950809,1
1.011163376306728,-9.370869940373977,1
3.508365555169523,-6.997663141333684,1
0.9211154700546789,-8.425190556725116,1
7.275372458502146,-6.628588926492089,1
1.1673067348701651,-9.764778355690687,1
5.60814814431837,-6.2283031960333,1
7.086110926131874,-6.42732467083397,1
3.4520165468719974,-7.67197084070309,1
5.653491073727539,-8.38724449550602,1
1.5908598279180648,-8.088281541588698,1
6.041843627596958,-7.636498472052679,1
1.3146126832166831,-10.022534993844793,1
3.212547156048294,-6.695235702139066,1
5.005591386785557,-7.75541236674524,1
3.3225693628348005,-9.724354414834384,1
5.7367536850885825,-7.2170679200824095,1
0.4483415555856278,-6.999369770676695,1
4.254050310108966,-8.283721439880518,1
-0.5186093936115284,-8.609531063991824,1
2.022087914433841,-8.26795905620197,1
2.198737530055101,-9.239899530143495,1
1.511545101000846,-9.73639799865602,1
0.3547506889835186,-10.09584336799028,1
-0.774044698180523,-9.96089129932966,1
2.315917062016416,-7.792238114099284,1
6.467219698409591,-7.533765335265613,1
6.120702278093101,-6.968387557309209,1
6.383901233123079,-7.057630664169452,1
5.26852535164163,-7.641257702336361,1
-0.9778719032545652,-7.634308936371609,1
3.5229803711463505,-6.310066164910832,1
1.5386848326122964,-7.266975244079761,1
0.5913227255465309,-9.98732998054178,1
3.367856961013793,-9.626403708640746,1
4.3552215743846485,-7.091547732496611,1
5.449630976169641,-6.78421809867912,1
4.551489324497483,-6.469081782108241,1
1.8424894401045016,-8.09233787453772,1
5.201995956965688,-7.6083420508318875,1
7.225906276129514,-6.657486924289734,1
4.678535201232692,-6.899840725607693,1
4.127517339165461,-7.313118872351157,1
4.167187159916285,-7.2404725067190325,1
2.7680849709579167,-8.553006951429962,1
7.410557018031406,-6.759652468409676,1
4.633372747689973,-7.333392080393853,1
-6.182049533305476,-8.38119436937007,2
-1.1288306565263133,-6.764906990592568,2
-6.120093992296769,-10.330564528012571,2
-3.4510978464004194,-9.510849777607929,2
-5.041706846222545,-9.646348202902958,2
-7.319691206189124,-11.109527058983957,2
4.470380362641445,-5.396555465080341,2
-6.635495058136628,-11.123777731747762,2
-4.395499168013036,-10.562815514204082,2
-7.0582623201291925,-9.80673180671827,2
-3.7608862144036395,-8.319742338239307,2
-2.8780299991271985,-8.929837162241835,2
-4.956896121553713,-9.444733882362367,2
-1.20074050456111,-6.453662474568244,2
-1.7447054992735258,-6.308671214984158,2
-4.685421690834644,-8.209226455152846,2
-3.7105095503326795,-9.416926841810097,2
-7.798242325819274,-10.529461938792041,2
-7.469070859672672,-11.478896811670133,2
-1.3423829920005157,-7.88043095078574,2
-5.890261524634675,-9.506285272005297,2
-0.8205800029296308,-6.281994372131974,2
-7.336544600023713,-11.334642200502294,2
-0.7481624427626816,-8.228579551971912,2
-5.578163054987687,-9.385112229143727,2
-6.290979499004827,-10.732743665375944,2
-0.25558245344466374,-7.914297929138013,2
-0.14752507712855495,-7.457698511086562,2
-4.153858412843654,-9.597874276265037,2
-5.9150752556805095,-10.994061310053151,2
-6.552074124867255,-11.076606088516558,2
-7.7839215296959985,-10.526163362521846,2
-4.329688607617967,-9.537932168427286,2
-0.8888689406011072,-8.684455000691445,2
-2.1358687517098534,-8.97820994878588,2
-7.113512200321968,-10.78852631101242,2
-5.577210202037467,-8.110021749462028,2
-3.6487740877865167,-9.305450129508623,2
0.13825395941718163,-7.2679972568407605,2
-5.055741877722763,-9.216045229693226,2
-5.499428815949456,-9.003373356297736,2
-4.716926654399058,-8.528356227948267,2
-1.1288306565263133,-6.764906990592568,2
-6.088321468468115,-9.514112702661022,2
-5.990567446549475,-8.884972881825464,2
-4.584199336023986,-8.596524490192246,2
-1.3938081386332901,-8.173627849034522,2
-3.665985138823852,-8.641484417726009,2
-5.110374921697216,-7.810157485953646,2
-0.6054085088228142,-6.970223650631981,2
